"";"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
"1";1;"V0101";"$CHAR2.";"";2;0;2;"c";TRUE
"2";3;"UF";"$CHAR2.";"";2;0;4;"c";TRUE
"3";5;"CONTROL";"$CHAR6.";"";6;0;10;"c";TRUE
"4";11;"V0103";"$CHAR3.";"";3;0;13;"c";TRUE
"5";14;"V0301";"$CHAR2.";"";2;0;15;"c";TRUE
"6";16;"V0302";"$CHAR1.";"";1;0;16;"c";TRUE
"7";17;"V3031";"$CHAR2.";"";2;0;18;"c";TRUE
"8";19;"V3032";"$CHAR2.";"";2;0;20;"c";TRUE
"9";21;"V3033";"$CHAR3.";"";3;0;23;"c";TRUE
"10";24;"V8005";"$CHAR3.";"";3;0;26;"c";TRUE
"11";27;"V0401";"$CHAR1.";"";1;0;27;"c";TRUE
"12";28;"V0402";"$CHAR1.";"";1;0;28;"c";TRUE
"13";29;"V0403";"$CHAR1.";"";1;0;29;"c";TRUE
"14";30;"V0404";"$CHAR1.";"";1;0;30;"c";TRUE
"15";31;"V0405";"$CHAR1.";"";1;0;31;"c";TRUE
"16";32;"V0406";"$CHAR1.";"";1;0;32;"c";TRUE
"17";33;"V0407";"$CHAR2.";"";2;0;34;"c";TRUE
"18";35;"V0501";"$CHAR1.";"";1;0;35;"c";TRUE
"19";36;"V0502";"$CHAR1.";"";1;0;36;"c";TRUE
"20";37;"V5030";"$CHAR2.";"";2;0;38;"c";TRUE
"21";39;"V0503";"$CHAR28.";"";28;0;66;"c";TRUE
"22";67;"V0504";"$CHAR1.";"";1;0;67;"c";TRUE
"23";68;"V0505";"$CHAR1.";"";1;0;68;"c";TRUE
"24";69;"V5061";"$CHAR1.";"";1;0;69;"c";TRUE
"25";70;"V5062";"$CHAR1.";"";1;0;70;"c";TRUE
"26";71;"V5063";"$CHAR1.";"";1;0;71;"c";TRUE
"27";72;"V5064";"$CHAR1.";"";1;0;72;"c";TRUE
"28";73;"V5065";"$CHAR1.";"";1;0;73;"c";TRUE
"29";74;"V0507";"$CHAR1.";"";1;0;74;"c";TRUE
"30";75;"V5080";"$CHAR2.";"";2;0;76;"c";TRUE
"31";77;"V0508";"$CHAR28.";"";28;0;104;"c";TRUE
"32";105;"V5090";"$CHAR2.";"";2;0;106;"c";TRUE
"33";107;"V0509";"$CHAR28.";"";28;0;134;"c";TRUE
"34";135;"V0510";"$CHAR1.";"";1;0;135;"c";TRUE
"35";136;"V0511";"$CHAR1.";"";1;0;136;"c";TRUE
"36";137;"V5121";"$CHAR1.";"";1;0;137;"c";TRUE
"37";138;"V5122";"$CHAR1.";"";1;0;138;"c";TRUE
"38";139;"V5123";"$CHAR1.";"";1;0;139;"c";TRUE
"39";140;"V5124";"$CHAR1.";"";1;0;140;"c";TRUE
"40";141;"V5125";"$CHAR1.";"";1;0;141;"c";TRUE
"41";142;"V0601";"$CHAR1.";"";1;0;142;"c";TRUE
"42";143;"V0602";"$CHAR1.";"";1;0;143;"c";TRUE
"43";144;"V0603";"$CHAR1.";"";1;0;144;"c";TRUE
"44";145;"V0604";"$CHAR1.";"";1;0;145;"c";TRUE
"45";146;"V0605";"$CHAR1.";"";1;0;146;"c";TRUE
"46";147;"V0606";"$CHAR1.";"";1;0;147;"c";TRUE
"47";148;"V0607";"$CHAR1.";"";1;0;148;"c";TRUE
"48";149;"V0608";"$CHAR1.";"";1;0;149;"c";TRUE
"49";150;"V0609";"$CHAR1.";"";1;0;150;"c";TRUE
"50";151;"V0610";"$CHAR1.";"";1;0;151;"c";TRUE
"51";152;"V0611";"$CHAR1.";"";1;0;152;"c";TRUE
"52";153;"V0701";"$CHAR1.";"";1;0;153;"c";TRUE
"53";154;"V0702";"$CHAR1.";"";1;0;154;"c";TRUE
"54";155;"V0703";"$CHAR1.";"";1;0;155;"c";TRUE
"55";156;"V0704";"$CHAR1.";"";1;0;156;"c";TRUE
"56";157;"V0705";"$CHAR1.";"";1;0;157;"c";TRUE
"57";158;"V7060";"$CHAR3.";"";3;0;160;"c";TRUE
"58";161;"V0706";"$CHAR59.";"";59;0;219;"c";TRUE
"59";220;"V7070";"$CHAR3.";"";3;0;222;"c";TRUE
"60";223;"V0707";"$CHAR59.";"";59;0;281;"c";TRUE
"61";282;"V0708";"$CHAR1.";"";1;0;282;"c";TRUE
"62";283;"V7090";"$CHAR3.";"";3;0;285;"c";TRUE
"63";286;"V0709";"$CHAR59.";"";59;0;344;"c";TRUE
"64";345;"V7100";"$CHAR3.";"";3;0;347;"c";TRUE
"65";348;"V0710";"$CHAR59.";"";59;0;406;"c";TRUE
"66";407;"V0711";"$CHAR1.";"";1;0;407;"c";TRUE
"67";408;"V7121";"$CHAR1.";"";1;0;408;"c";TRUE
"68";409;"V7122";"12.";"";12;0;420;"d";FALSE
"69";421;"V7123";"$CHAR1.";"";1;0;421;"c";TRUE
"70";422;"V7124";"$CHAR1.";"";1;0;422;"c";TRUE
"71";423;"V7125";"12.";"";12;0;434;"d";FALSE
"72";435;"V7126";"$CHAR1.";"";1;0;435;"c";TRUE
"73";436;"V7127";"$CHAR1.";"";1;0;436;"c";TRUE
"74";437;"V7128";"$CHAR1.";"";1;0;437;"c";TRUE
"75";438;"V0713";"2.";"";2;0;439;"i";FALSE
"76";440;"V0801";"$CHAR1.";"";1;0;440;"c";TRUE
"77";441;"V0802";"$CHAR1.";"";1;0;441;"c";TRUE
"78";442;"V0803";"$CHAR1.";"";1;0;442;"c";TRUE
"79";443;"V0804";"$CHAR1.";"";1;0;443;"c";TRUE
"80";444;"V0805";"$CHAR1.";"";1;0;444;"c";TRUE
"81";445;"V0806";"$CHAR1.";"";1;0;445;"c";TRUE
"82";446;"V0807";"$CHAR1.";"";1;0;446;"c";TRUE
"83";447;"V0808";"$CHAR1.";"";1;0;447;"c";TRUE
"84";448;"V0809";"$CHAR1.";"";1;0;448;"c";TRUE
"85";449;"V0810";"$CHAR1.";"";1;0;449;"c";TRUE
"86";450;"V0811";"$CHAR1.";"";1;0;450;"c";TRUE
"87";451;"V9001";"$CHAR1.";"";1;0;451;"c";TRUE
"88";452;"V9002";"$CHAR1.";"";1;0;452;"c";TRUE
"89";453;"V9003";"$CHAR1.";"";1;0;453;"c";TRUE
"90";454;"V9004";"$CHAR1.";"";1;0;454;"c";TRUE
"91";455;"V9005";"$CHAR1.";"";1;0;455;"c";TRUE
"92";456;"V9906";"$CHAR3.";"";3;0;458;"c";TRUE
"93";459;"V9006";"$CHAR59.";"";59;0;517;"c";TRUE
"94";518;"V9907";"$CHAR3.";"";3;0;520;"c";TRUE
"95";521;"V9007";"$CHAR59.";"";59;0;579;"c";TRUE
"96";580;"V9008";"$CHAR2.";"";2;0;581;"c";TRUE
"97";582;"V9009";"$CHAR1.";"";1;0;582;"c";TRUE
"98";583;"V9010";"$CHAR1.";"";1;0;583;"c";TRUE
"99";584;"V9011";"$CHAR1.";"";1;0;584;"c";TRUE
"100";585;"V9012";"$CHAR1.";"";1;0;585;"c";TRUE
"101";586;"V9013";"$CHAR1.";"";1;0;586;"c";TRUE
"102";587;"V9014";"$CHAR1.";"";1;0;587;"c";TRUE
"103";588;"V9151";"$CHAR1.";"";1;0;588;"c";TRUE
"104";589;"V9152";"11.";"";11;0;599;"d";FALSE
"105";600;"V9153";"$CHAR2.";"";2;0;601;"c";TRUE
"106";602;"V9154";"7.";"";7;0;608;"i";FALSE
"107";609;"V9155";"$CHAR1.";"";1;0;609;"c";TRUE
"108";610;"V9156";"$CHAR1.";"";1;0;610;"c";TRUE
"109";611;"V9157";"11.";"";11;0;621;"d";FALSE
"110";622;"V9158";"$CHAR2.";"";2;0;623;"c";TRUE
"111";624;"V9159";"7.";"";7;0;630;"i";FALSE
"112";631;"V9160";"$CHAR1.";"";1;0;631;"c";TRUE
"113";632;"V9161";"$CHAR1.";"";1;0;632;"c";TRUE
"114";633;"V9162";"11.";"";11;0;643;"d";FALSE
"115";644;"V9163";"$CHAR2.";"";2;0;645;"c";TRUE
"116";646;"V9164";"7.";"";7;0;652;"i";FALSE
"117";653;"V9165";"$CHAR1.";"";1;0;653;"c";TRUE
"118";654;"V9016";"$CHAR1.";"";1;0;654;"c";TRUE
"119";655;"V9017";"$CHAR1.";"";1;0;655;"c";TRUE
"120";656;"V9018";"$CHAR1.";"";1;0;656;"c";TRUE
"121";657;"V9019";"$CHAR1.";"";1;0;657;"c";TRUE
"122";658;"V9201";"$CHAR1.";"";1;0;658;"c";TRUE
"123";659;"V9202";"11.";"";11;0;669;"d";FALSE
"124";670;"V9203";"$CHAR2.";"";2;0;671;"c";TRUE
"125";672;"V9204";"7.";"";7;0;678;"i";FALSE
"126";679;"V9205";"$CHAR1.";"";1;0;679;"c";TRUE
"127";680;"V9206";"$CHAR1.";"";1;0;680;"c";TRUE
"128";681;"V9207";"11.";"";11;0;691;"d";FALSE
"129";692;"V9208";"$CHAR2.";"";2;0;693;"c";TRUE
"130";694;"V9209";"7.";"";7;0;700;"i";FALSE
"131";701;"V9210";"$CHAR1.";"";1;0;701;"c";TRUE
"132";702;"V9211";"$CHAR1.";"";1;0;702;"c";TRUE
"133";703;"V9212";"11.";"";11;0;713;"d";FALSE
"134";714;"V9213";"$CHAR2.";"";2;0;715;"c";TRUE
"135";716;"V9214";"7.";"";7;0;722;"i";FALSE
"136";723;"V9215";"$CHAR1.";"";1;0;723;"c";TRUE
"137";724;"V9021";"$CHAR1.";"";1;0;724;"c";TRUE
"138";725;"V9022";"$CHAR1.";"";1;0;725;"c";TRUE
"139";726;"V9023";"$CHAR1.";"";1;0;726;"c";TRUE
"140";727;"V9024";"$CHAR1.";"";1;0;727;"c";TRUE
"141";728;"V9025";"$CHAR1.";"";1;0;728;"c";TRUE
"142";729;"V9026";"$CHAR1.";"";1;0;729;"c";TRUE
"143";730;"V9027";"$CHAR1.";"";1;0;730;"c";TRUE
"144";731;"V9028";"$CHAR1.";"";1;0;731;"c";TRUE
"145";732;"V9029";"$CHAR1.";"";1;0;732;"c";TRUE
"146";733;"V9030";"$CHAR1.";"";1;0;733;"c";TRUE
"147";734;"V9031";"$CHAR1.";"";1;0;734;"c";TRUE
"148";735;"V9032";"$CHAR1.";"";1;0;735;"c";TRUE
"149";736;"V9033";"$CHAR1.";"";1;0;736;"c";TRUE
"150";737;"V9034";"$CHAR1.";"";1;0;737;"c";TRUE
"151";738;"V9035";"$CHAR1.";"";1;0;738;"c";TRUE
"152";739;"V9036";"$CHAR1.";"";1;0;739;"c";TRUE
"153";740;"V9037";"$CHAR1.";"";1;0;740;"c";TRUE
"154";741;"V9038";"2.";"";2;0;742;"i";FALSE
"155";743;"V9039";"2.";"";2;0;744;"i";FALSE
"156";745;"V9040";"$CHAR1.";"";1;0;745;"c";TRUE
"157";746;"V9041";"$CHAR1.";"";1;0;746;"c";TRUE
"158";747;"V9042";"$CHAR1.";"";1;0;747;"c";TRUE
"159";748;"V9043";"$CHAR1.";"";1;0;748;"c";TRUE
"160";749;"V9044";"$CHAR1.";"";1;0;749;"c";TRUE
"161";750;"V9045";"$CHAR1.";"";1;0;750;"c";TRUE
"162";751;"V9046";"$CHAR1.";"";1;0;751;"c";TRUE
"163";752;"V9047";"$CHAR1.";"";1;0;752;"c";TRUE
"164";753;"V9048";"$CHAR1.";"";1;0;753;"c";TRUE
"165";754;"V9049";"$CHAR1.";"";1;0;754;"c";TRUE
"166";755;"V9050";"$CHAR1.";"";1;0;755;"c";TRUE
"167";756;"V9051";"$CHAR1.";"";1;0;756;"c";TRUE
"168";757;"V9052";"$CHAR1.";"";1;0;757;"c";TRUE
"169";758;"V9531";"$CHAR1.";"";1;0;758;"c";TRUE
"170";759;"V9532";"12.";"";12;0;770;"d";FALSE
"171";771;"V9533";"$CHAR1.";"";1;0;771;"c";TRUE
"172";772;"V9534";"$CHAR1.";"";1;0;772;"c";TRUE
"173";773;"V9535";"12.";"";12;0;784;"d";FALSE
"174";785;"V9536";"$CHAR1.";"";1;0;785;"c";TRUE
"175";786;"V9537";"$CHAR1.";"";1;0;786;"c";TRUE
"176";787;"V9054";"$CHAR1.";"";1;0;787;"c";TRUE
"177";788;"V9055";"$CHAR1.";"";1;0;788;"c";TRUE
"178";789;"V9056";"$CHAR1.";"";1;0;789;"c";TRUE
"179";790;"V9057";"$CHAR1.";"";1;0;790;"c";TRUE
"180";791;"V9058";"2.";"";2;0;792;"i";FALSE
